Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2513","Barley and products","2019","2019","kcal/cap/d","2.11","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2513","Barley and products","2019","2019","g/cap/d","0.06","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2513","Barley and products","2019","2019","g/cap/d","0.01","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2513","Barley and products","2020","2020","kcal/cap/d","2.1","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2513","Barley and products","2020","2020","g/cap/d","0.06","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2513","Barley and products","2020","2020","g/cap/d","0.01","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2513","Barley and products","2021","2021","kcal/cap/d","0.56","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2513","Barley and products","2021","2021","g/cap/d","0.01","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2513","Barley and products","2021","2021","g/cap/d","0","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2513","Barley and products","2022","2022","kcal/cap/d","2.19","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2513","Barley and products","2022","2022","g/cap/d","0.06","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2513","Barley and products","2022","2022","g/cap/d","0.01","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2514","Maize and products","2010","2010","kcal/cap/d","108.85","E","Estimated value",""
